"Date","Price","Open","High","Low","Vol.","Change %"
"05/30/2023","456.63","460.75","461.72","456.26","181.35M","-0.92%"
"05/29/2023","460.87","461.60","462.72","460.58","59.96M","-0.12%"
"05/26/2023","461.41","456.56","462.37","455.85","187.40M","1.15%"
"05/25/2023","456.18","457.95","458.72","456.13","177.59M","-0.32%"
"05/24/2023","457.65","465.76","465.76","456.10","217.91M","-1.81%"
"05/23/2023","466.10","468.60","468.60","466.06","153.56M","-0.60%"
"05/22/2023","468.91","468.65","469.84","467.84","212.20M","0.01%"
"05/19/2023","468.85","466.18","470.45","466.18","176.85M","0.66%"
"05/18/2023","465.79","463.74","467.14","463.74","165.81M","0.39%"
"05/17/2023","463.98","464.26","465.16","462.21","162.78M","-0.15%"
"05/16/2023","464.70","466.07","467.14","464.03","213.46M","-0.42%"
"05/15/2023","466.67","465.39","467.57","465.35","157.78M","0.25%"
"05/12/2023","465.49","463.52","467.05","463.52","167.46M","0.40%"
"05/11/2023","463.62","463.21","466.83","461.20","209.07M","0.00%"
"05/10/2023","463.64","465.44","466.03","462.40","207.81M","-0.38%"
"05/09/2023","465.41","466.99","466.99","462.98","207.86M","-0.33%"
"05/08/2023","466.94","465.50","467.30","465.29","84.80M","0.35%"
"05/05/2023","465.31","460.19","465.34","460.19","179.94M","1.08%"
"05/04/2023","460.34","459.98","461.38","458.00","197.07M","-0.47%"
"05/03/2023","462.51","461.76","463.58","461.76","210.72M","0.31%"
"05/02/2023","461.08","466.52","467.83","460.85","219.18M","-1.24%"
"05/01/2023","466.89","467.00","467.08","466.50","233.46M","0.05%"
"04/28/2023","466.64","464.14","466.64","461.40","234.54M","0.56%"
"04/27/2023","464.03","462.79","464.99","462.24","181.13M","0.18%"
"04/26/2023","463.21","466.39","466.39","461.21","218.97M","-0.83%"
"04/25/2023","467.08","468.32","468.32","465.97","177.79M","-0.40%"
"04/24/2023","468.97","468.33","469.64","467.33","162.76M","-0.01%"
"04/21/2023","469.00","467.38","469.00","465.82","208.30M","0.34%"
"04/20/2023","467.43","467.71","467.86","466.04","209.74M","-0.15%"
"04/19/2023","468.13","468.71","468.71","466.51","184.78M","-0.10%"
"04/18/2023","468.62","466.77","469.81","466.77","155.87M","0.38%"
"04/17/2023","466.84","467.33","468.95","466.55","166.95M","-0.01%"
"04/14/2023","466.91","464.31","468.05","464.31","194.56M","0.58%"
"04/13/2023","464.21","462.78","464.54","462.75","175.37M","0.40%"
"04/12/2023","462.38","461.52","465.62","461.48","188.10M","0.13%"
"04/11/2023","461.79","459.40","462.73","459.40","202.26M","0.62%"
"04/07/2023","458.94","458.94","458.94","458.94","","0.00%"
"04/06/2023","458.94","456.39","459.30","456.39","151.18M","0.51%"
"04/05/2023","456.59","457.15","457.72","455.56","175.92M","-0.16%"
"04/04/2023","457.34","458.02","460.90","457.17","179.75M","-0.08%"
"04/03/2023","457.72","457.83","459.05","457.10","196.21M","-0.03%"
"03/31/2023","457.84","455.14","458.71","454.51","218.38M","0.66%"
"03/30/2023","454.84","450.48","455.55","450.48","196.01M","1.03%"
"03/29/2023","450.21","444.69","450.24","444.69","179.36M","1.30%"
"03/28/2023","444.45","445.34","448.17","443.41","224.63M","-0.06%"
"03/27/2023","444.72","440.82","446.26","440.82","152.46M","1.05%"
"03/24/2023","440.11","445.37","445.37","437.08","256.87M","-1.37%"
"03/23/2023","446.22","446.01","447.03","442.51","235.13M","-0.21%"
"03/22/2023","447.16","446.89","448.88","445.66","208.08M","0.15%"
"03/21/2023","446.47","441.85","448.57","441.85","227.37M","1.33%"
"03/20/2023","440.60","435.05","442.32","427.77","329.12M","0.98%"
"03/17/2023","436.31","443.14","446.91","434.62","522.61M","-1.21%"
"03/16/2023","441.64","437.48","442.74","433.94","324.56M","1.19%"
"03/15/2023","436.45","449.19","449.19","435.73","381.28M","-2.92%"
"03/14/2023","449.56","443.48","450.27","441.61","247.11M","1.53%"
"03/13/2023","442.80","453.38","453.38","440.29","351.23M","-2.42%"
"03/10/2023","453.76","457.55","457.55","451.20","247.53M","-1.35%"
"03/09/2023","459.98","460.36","461.00","457.59","186.00M","-0.22%"
"03/08/2023","460.99","459.84","461.53","458.96","177.42M","0.08%"
"03/07/2023","460.60","464.14","465.64","460.51","198.44M","-0.77%"
"03/06/2023","464.18","465.13","465.95","462.89","174.88M","-0.02%"
"03/03/2023","464.26","461.11","464.57","461.11","174.27M","0.92%"
"03/02/2023","460.02","456.58","460.20","454.60","192.85M","0.51%"
"03/01/2023","457.68","460.53","462.74","457.02","238.49M","-0.74%"
"02/28/2023","461.11","461.67","463.41","460.06","295.31M","-0.32%"
"02/27/2023","462.58","458.44","464.22","458.44","179.14M","1.07%"
"02/24/2023","457.70","462.94","464.60","457.42","228.05M","-1.04%"
"02/23/2023","462.50","462.35","464.94","462.35","211.83M","0.06%"
"02/22/2023","462.22","463.34","463.34","458.97","199.43M","-0.33%"
"02/21/2023","463.77","464.18","464.80","459.86","203.53M","-0.19%"
"02/20/2023","464.64","465.15","465.76","463.56","168.22M","0.07%"
"02/17/2023","464.30","463.44","465.40","459.55","269.66M","-0.20%"
"02/16/2023","465.24","465.55","467.86","462.55","204.13M","0.19%"
"02/15/2023","464.36","461.36","464.87","460.64","198.30M","0.42%"
"02/14/2023","462.40","462.52","466.11","461.56","184.99M","0.08%"
"02/13/2023","462.03","458.23","462.11","458.23","155.36M","0.90%"
"02/10/2023","457.89","460.96","460.96","455.22","218.78M","-0.96%"
"02/09/2023","462.31","460.90","464.81","460.90","252.93M","0.62%"
"02/08/2023","459.46","459.54","462.76","459.41","196.57M","0.28%"
"02/07/2023","458.19","457.80","458.74","456.70","208.19M","0.23%"
"02/06/2023","457.16","460.15","460.15","455.24","195.25M","-0.78%"
"02/03/2023","460.77","457.86","460.77","456.52","226.72M","0.34%"
"02/02/2023","459.20","453.63","459.39","453.63","288.48M","1.35%"
"02/01/2023","453.09","453.72","455.47","452.16","230.65M","-0.03%"
"01/31/2023","453.21","453.82","453.98","449.73","229.66M","-0.26%"
"01/30/2023","454.40","453.96","454.76","451.27","236.53M","-0.17%"
"01/27/2023","455.17","454.15","455.52","453.06","177.71M","0.26%"
"01/26/2023","453.98","453.24","455.52","453.24","210.78M","0.42%"
"01/25/2023","452.07","453.18","453.42","449.78","166.00M","-0.29%"
"01/24/2023","453.38","455.09","455.98","451.81","171.26M","-0.24%"
"01/23/2023","454.49","451.86","454.92","451.86","150.17M","0.52%"
"01/20/2023","452.12","450.68","452.49","450.49","191.05M","0.37%"
"01/19/2023","450.45","455.58","455.58","449.93","206.25M","-1.55%"
"01/18/2023","457.53","456.51","459.30","456.51","208.45M","0.23%"
"01/17/2023","456.46","454.41","457.44","453.29","224.16M","0.40%"
"01/16/2023","454.63","453.20","454.82","452.67","160.33M","0.46%"
"01/13/2023","452.54","450.20","453.24","450.20","182.40M","0.52%"
"01/12/2023","450.22","447.79","451.77","447.79","210.10M","0.63%"
"01/11/2023","447.41","445.84","448.86","445.70","225.48M","0.38%"
"01/10/2023","445.71","446.63","446.63","444.50","195.82M","-0.59%"
"01/09/2023","448.35","445.39","449.08","445.39","215.29M","0.88%"
"01/06/2023","444.42","439.75","444.42","438.87","176.93M","1.16%"
"01/05/2023","439.33","439.42","440.98","438.26","182.94M","-0.20%"
"01/04/2023","440.19","435.05","440.34","435.05","213.06M","1.38%"
"01/03/2023","434.18","430.01","436.88","430.01","198.50M","1.22%"
"01/02/2023","428.95","425.90","429.49","425.90","57.40M","0.96%"
"12/30/2022","424.89","430.02","430.02","424.84","87.46M","-1.27%"
"12/29/2022","430.35","426.84","430.48","425.10","98.91M","0.68%"
"12/28/2022","427.46","428.53","430.51","427.22","99.51M","-0.13%"
"12/27/2022","428.00","428.28","429.97","427.78","48.80M","0.13%"
"12/23/2022","427.45","427.31","429.42","426.12","83.40M","0.04%"
"12/22/2022","427.26","431.42","433.51","426.80","118.34M","-0.97%"
"12/21/2022","431.44","425.33","431.46","425.33","149.09M","1.71%"
"12/20/2022","424.18","424.12","425.51","421.56","185.55M","-0.40%"
"12/19/2022","425.87","425.38","427.75","425.38","141.44M","0.27%"
"12/16/2022","424.74","429.31","429.89","423.41","447.21M","-1.20%"
"12/15/2022","429.91","440.15","440.15","429.50","211.06M","-2.85%"
"12/14/2022","442.51","441.79","442.67","439.53","181.90M","-0.02%"
"12/13/2022","442.60","437.29","447.11","436.47","202.45M","1.29%"
"12/12/2022","436.98","437.88","438.00","435.67","151.52M","-0.49%"
"12/09/2022","439.13","436.38","439.31","434.94","181.48M","0.84%"
"12/08/2022","435.47","436.14","436.51","434.12","148.45M","-0.17%"
"12/07/2022","436.20","438.03","438.74","435.39","171.42M","-0.62%"
"12/06/2022","438.92","440.94","441.49","437.52","195.38M","-0.58%"
"12/05/2022","441.47","442.94","443.36","440.93","140.02M","-0.41%"
"12/02/2022","443.29","442.81","444.45","439.43","169.89M","-0.15%"
"12/01/2022","443.96","441.56","445.05","441.56","216.05M","0.89%"
"11/30/2022","440.04","438.01","441.13","438.01","384.80M","0.63%"
"11/29/2022","437.29","438.76","440.16","437.02","174.35M","-0.13%"
"11/28/2022","437.85","439.54","439.83","436.50","167.14M","-0.65%"
"11/25/2022","440.73","440.31","441.60","439.67","134.21M","-0.02%"
"11/24/2022","440.84","438.40","441.62","438.25","134.09M","0.46%"
"11/23/2022","438.82","436.37","439.19","435.56","185.29M","0.60%"
"11/22/2022","436.22","433.39","436.91","432.88","160.08M","0.73%"
"11/21/2022","433.06","432.85","434.38","431.90","166.29M","-0.06%"
"11/18/2022","433.33","430.03","433.84","429.82","211.86M","1.16%"
"11/17/2022","428.38","430.78","432.45","425.70","175.80M","-0.42%"
"11/16/2022","430.17","433.85","434.40","429.55","193.48M","-0.98%"
"11/15/2022","434.44","433.03","436.41","432.23","218.42M","0.37%"
"11/14/2022","432.86","432.68","435.65","432.38","180.94M","0.14%"
"11/11/2022","432.26","433.39","435.22","431.51","252.10M","0.09%"
"11/10/2022","431.89","419.26","432.49","418.55","259.44M","2.75%"
"11/09/2022","420.34","420.84","421.34","418.05","166.97M","-0.30%"
"11/08/2022","421.61","417.61","421.96","416.35","226.90M","0.78%"
"11/07/2022","418.34","416.25","419.74","414.68","208.13M","0.33%"
"11/04/2022","416.98","410.91","419.44","410.91","240.36M","1.81%"
"11/03/2022","409.55","411.20","411.20","405.95","186.87M","-0.93%"
"11/02/2022","413.39","415.29","416.83","413.11","191.93M","-0.29%"
"11/01/2022","414.61","413.31","418.42","413.31","209.20M","0.58%"
"10/31/2022","412.20","411.30","413.16","409.88","197.59M","0.35%"
"10/28/2022","410.76","408.56","410.92","405.67","178.32M","0.14%"
"10/27/2022","410.19","409.63","411.41","406.46","232.91M","-0.03%"
"10/26/2022","410.31","407.56","410.33","405.31","235.91M","0.66%"
"10/25/2022","407.61","402.84","407.66","401.20","182.09M","1.44%"
"10/24/2022","401.84","398.46","404.32","397.28","176.79M","1.40%"
"10/21/2022","396.29","397.22","397.69","391.10","197.92M","-0.62%"
"10/20/2022","398.77","396.98","400.03","394.86","216.59M","0.26%"
"10/19/2022","397.73","399.90","400.91","397.26","170.33M","-0.53%"
"10/18/2022","399.84","398.36","404.08","398.36","224.74M","0.34%"
"10/17/2022","398.48","391.80","400.08","390.43","197.40M","1.83%"
"10/14/2022","391.31","390.87","397.95","390.80","214.34M","0.56%"
"10/13/2022","389.15","385.11","389.94","379.72","249.57M","0.85%"
"10/12/2022","385.88","387.26","389.70","384.08","207.43M","-0.53%"
"10/11/2022","387.95","389.19","389.64","384.79","193.21M","-0.56%"
"10/10/2022","390.12","391.02","393.23","388.24","191.19M","-0.40%"
"10/07/2022","391.67","395.70","397.46","391.36","178.93M","-1.18%"
"10/06/2022","396.35","400.10","402.12","395.13","203.26M","-0.64%"
"10/05/2022","398.91","402.91","402.91","397.28","190.58M","-1.02%"
"10/04/2022","403.03","392.80","403.03","392.80","243.12M","3.12%"
"10/03/2022","390.83","386.43","391.31","381.54","242.70M","0.77%"
"09/30/2022","387.85","383.70","388.45","383.70","259.05M","1.30%"
"09/29/2022","382.89","388.90","388.90","380.04","253.09M","-1.67%"
"09/28/2022","389.41","386.92","389.70","380.72","309.10M","0.30%"
"09/27/2022","388.24","389.32","393.70","388.24","259.91M","-0.13%"
"09/26/2022","388.75","388.64","391.71","385.61","241.22M","-0.42%"
"09/23/2022","390.40","399.69","399.70","388.40","240.25M","-2.34%"
"09/22/2022","399.76","405.40","406.19","399.55","205.64M","-1.79%"
"09/21/2022","407.05","403.80","407.15","401.72","258.14M","0.90%"
"09/20/2022","403.42","408.28","411.77","402.85","232.93M","-1.09%"
"09/19/2022","407.87","408.35","409.15","404.08","90.97M","-0.09%"
"09/16/2022","408.24","412.83","412.83","407.98","515.57M","-1.58%"
"09/15/2022","414.78","417.28","419.71","414.04","214.89M","-0.65%"
"09/14/2022","417.51","420.65","420.75","415.77","223.43M","-0.86%"
"09/13/2022","421.13","427.93","430.47","421.13","204.85M","-1.55%"
"09/12/2022","427.75","420.36","428.53","420.36","207.69M","1.76%"
"09/09/2022","420.37","414.19","421.64","414.19","194.04M","1.52%"
"09/08/2022","414.09","412.95","414.79","408.25","204.86M","0.50%"
"09/07/2022","412.01","413.22","413.22","409.52","232.72M","-0.57%"
"09/06/2022","414.38","413.24","416.87","411.74","173.75M","0.24%"
"09/05/2022","413.39","415.20","415.20","408.10","159.03M","-0.62%"
"09/02/2022","415.97","408.89","416.17","408.89","186.42M","2.04%"
"09/01/2022","407.66","414.47","414.47","407.09","176.90M","-1.80%"
"08/31/2022","415.12","420.48","421.51","415.12","263.72M","-1.12%"
"08/30/2022","419.81","423.22","426.91","418.74","215.84M","-0.67%"
"08/29/2022","422.65","424.95","424.95","420.50","76.89M","-0.81%"
"08/26/2022","426.09","434.04","435.70","425.56","160.76M","-1.68%"
"08/25/2022","433.36","432.95","435.57","431.76","132.81M","0.30%"
"08/24/2022","432.05","431.04","432.90","428.47","140.80M","0.16%"
"08/23/2022","431.35","433.03","433.66","430.47","161.27M","-0.42%"
"08/22/2022","433.17","437.08","437.08","431.66","159.54M","-0.96%"
"08/19/2022","437.36","440.06","440.48","437.07","174.70M","-0.77%"
"08/18/2022","440.76","438.30","441.16","437.77","142.29M","0.39%"
"08/17/2022","439.03","443.71","444.40","438.42","139.35M","-0.91%"
"08/16/2022","443.07","443.03","444.46","441.87","140.20M","0.16%"
"08/15/2022","442.35","441.65","443.06","440.06","131.72M","0.34%"
"08/12/2022","440.87","440.52","442.26","439.52","150.80M","0.16%"
"08/11/2022","440.16","440.93","441.92","439.29","147.77M","0.06%"
"08/10/2022","439.88","435.72","440.28","433.87","167.16M","0.89%"
"08/09/2022","435.98","438.54","438.91","435.47","147.62M","-0.67%"
"08/08/2022","438.93","437.00","441.01","437.00","141.86M","0.74%"
"08/05/2022","435.72","439.11","439.43","435.08","156.13M","-0.76%"
"08/04/2022","439.06","438.13","441.81","438.04","198.77M","0.18%"
"08/03/2022","438.29","435.79","438.47","434.80","208.20M","0.51%"
"08/02/2022","436.07","436.43","436.92","433.52","159.65M","-0.32%"
"08/01/2022","437.46","437.63","439.90","437.11","155.30M","-0.19%"
"07/29/2022","438.29","433.56","439.01","433.56","227.46M","1.28%"
"07/28/2022","432.77","429.52","432.77","428.34","202.95M","1.09%"
"07/27/2022","428.12","426.73","429.25","426.65","223.83M","0.47%"
"07/26/2022","426.13","426.20","427.45","425.28","172.79M","-0.03%"
"07/25/2022","426.25","425.04","427.22","423.27","168.47M","0.13%"
"07/22/2022","425.71","424.29","427.85","423.13","182.36M","0.31%"
"07/21/2022","424.39","422.17","424.39","420.03","240.79M","0.44%"
"07/20/2022","422.51","423.57","425.63","420.84","231.47M","-0.21%"
"07/19/2022","423.41","416.18","423.87","414.61","190.11M","1.38%"
"07/18/2022","417.63","414.73","420.00","414.73","173.02M","0.93%"
"07/15/2022","413.78","407.41","414.00","406.52","215.57M","1.79%"
"07/14/2022","406.50","412.56","412.66","404.78","223.59M","-1.53%"
"07/13/2022","412.81","416.91","416.91","409.30","188.70M","-1.01%"
"07/12/2022","417.04","414.46","417.14","411.36","227.74M","0.49%"
"07/11/2022","415.02","415.01","416.19","410.83","164.87M","-0.50%"
"07/08/2022","417.12","414.86","417.50","412.59","168.00M","0.51%"
"07/07/2022","415.01","409.42","415.39","409.42","235.42M","1.88%"
"07/06/2022","407.34","402.20","409.24","402.20","225.18M","1.66%"
"07/05/2022","400.68","410.19","411.51","400.50","238.39M","-2.11%"
"07/04/2022","409.31","408.93","411.44","408.87","129.21M","0.54%"
"07/01/2022","407.13","405.89","409.49","402.60","179.09M","-0.02%"
"06/30/2022","407.20","411.96","411.96","404.28","246.81M","-1.50%"
"06/29/2022","413.42","414.63","414.63","409.97","173.27M","-0.67%"
"06/28/2022","416.19","416.04","419.20","415.91","172.99M","0.27%"
"06/27/2022","415.09","413.52","418.58","413.06","184.78M","0.52%"
"06/24/2022","412.93","402.94","413.21","402.94","195.94M","2.62%"
"06/23/2022","402.40","404.42","406.26","400.03","206.58M","-0.82%"
"06/22/2022","405.74","408.84","408.84","401.25","238.93M","-0.70%"
"06/21/2022","408.58","407.41","411.77","407.41","156.18M","0.35%"
"06/20/2022","407.14","403.38","407.14","402.11","159.60M","0.96%"
"06/17/2022","403.25","403.37","409.15","401.92","449.96M","0.09%"
"06/16/2022","402.88","412.59","412.59","402.06","255.52M","-2.47%"
"06/15/2022","413.10","408.12","415.30","407.60","252.66M","1.42%"
"06/14/2022","407.32","414.01","416.61","407.32","214.26M","-1.26%"
"06/13/2022","412.52","420.75","420.75","411.34","246.35M","-2.41%"
"06/10/2022","422.71","433.29","433.29","422.01","251.06M","-2.69%"
"06/09/2022","434.38","439.05","439.50","433.52","189.53M","-1.36%"
"06/08/2022","440.37","443.66","444.37","438.19","175.65M","-0.57%"
"06/07/2022","442.88","442.87","443.25","440.23","173.94M","-0.28%"
"06/06/2022","444.12","440.98","445.72","440.98","145.90M","0.92%"
"06/03/2022","440.09","442.41","443.37","439.69","66.03M","-0.26%"
"06/02/2022","441.23","439.54","441.54","439.54","65.82M","0.57%"
"06/01/2022","438.72","443.62","445.29","438.54","181.52M","-1.04%"
"05/31/2022","443.35","446.02","446.37","442.70","405.17M","-0.72%"
"05/30/2022","446.57","444.72","447.79","444.72","197.52M","0.59%"
"05/27/2022","443.93","438.57","444.07","438.35","178.92M","1.42%"
"05/26/2022","437.71","434.41","438.20","434.41","165.60M","0.78%"
"05/25/2022","434.31","432.97","435.83","431.17","193.40M","0.63%"
"05/24/2022","431.58","434.76","434.76","430.81","229.54M","-1.14%"
"05/23/2022","436.54","432.85","436.58","431.60","186.51M","1.26%"
"05/20/2022","431.10","429.28","435.52","429.28","195.74M","0.73%"
"05/19/2022","427.99","431.57","431.57","423.46","221.13M","-1.37%"
"05/18/2022","433.95","439.28","440.24","433.92","195.21M","-1.14%"
"05/17/2022","438.97","435.48","441.46","435.48","194.44M","1.22%"
"05/16/2022","433.67","432.45","434.16","429.95","176.24M","0.04%"
"05/13/2022","433.48","425.79","433.48","425.79","195.68M","2.14%"
"05/12/2022","424.40","423.77","426.24","417.27","230.97M","-0.75%"
"05/11/2022","427.59","421.82","427.59","419.45","266.26M","1.74%"
"05/10/2022","420.29","418.66","425.42","418.66","216.17M","0.68%"
"05/09/2022","417.46","428.55","429.49","417.46","198.61M","-2.90%"
"05/06/2022","429.91","436.64","436.64","426.86","254.24M","-1.91%"
